X,Year,CrimeType ,CrimeDetails,CrimeCount,State
307,2011,Other Crimes Against STs,Other Crimes Against STs,17,West Bengal
308,2011,Total,Total,41,West Bengal
309,2011,Murder,Murder,0,ANDAMAN AND NICOBAR ISLANDS
310,2011,Rape,Rape,1,ANDAMAN AND NICOBAR ISLANDS
311,2011,Kidnapping Abduction,Kidnapping Abduction,0,ANDAMAN AND NICOBAR ISLANDS
312,2011,Dacoity,Dacoity,0,ANDAMAN AND NICOBAR ISLANDS
313,2011,Robbery,Robbery,0,ANDAMAN AND NICOBAR ISLANDS
314,2011,Arson,Arson,0,ANDAMAN AND NICOBAR ISLANDS
315,2011,Hurt,Hurt,0,ANDAMAN AND NICOBAR ISLANDS
316,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,ANDAMAN AND NICOBAR ISLANDS
317,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,2,ANDAMAN AND NICOBAR ISLANDS
318,2011,Other Crimes Against STs,Other Crimes Against STs,4,ANDAMAN AND NICOBAR ISLANDS
319,2011,Total,Total,7,ANDAMAN AND NICOBAR ISLANDS
320,2011,Murder,Murder,0,CHANDIGARH
321,2011,Rape,Rape,0,CHANDIGARH
322,2011,Kidnapping Abduction,Kidnapping Abduction,0,CHANDIGARH
323,2011,Dacoity,Dacoity,0,CHANDIGARH
324,2011,Robbery,Robbery,0,CHANDIGARH
325,2011,Arson,Arson,0,CHANDIGARH
326,2011,Hurt,Hurt,0,CHANDIGARH
327,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,CHANDIGARH
328,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,0,CHANDIGARH
329,2011,Other Crimes Against STs,Other Crimes Against STs,0,CHANDIGARH
330,2011,Total,Total,0,CHANDIGARH
331,2011,Murder,Murder,0,DADRA AND NAGAR HAVELI
332,2011,Rape,Rape,1,DADRA AND NAGAR HAVELI
333,2011,Kidnapping Abduction,Kidnapping Abduction,0,DADRA AND NAGAR HAVELI
334,2011,Dacoity,Dacoity,0,DADRA AND NAGAR HAVELI
335,2011,Robbery,Robbery,0,DADRA AND NAGAR HAVELI
336,2011,Arson,Arson,0,DADRA AND NAGAR HAVELI
337,2011,Hurt,Hurt,0,DADRA AND NAGAR HAVELI
338,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,DADRA AND NAGAR HAVELI
339,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,0,DADRA AND NAGAR HAVELI
340,2011,Other Crimes Against STs,Other Crimes Against STs,1,DADRA AND NAGAR HAVELI
341,2011,Total,Total,2,DADRA AND NAGAR HAVELI
342,2011,Murder,Murder,0,DAMAN AND DIU
343,2011,Rape,Rape,0,DAMAN AND DIU
344,2011,Kidnapping Abduction,Kidnapping Abduction,0,DAMAN AND DIU
345,2011,Dacoity,Dacoity,0,DAMAN AND DIU
346,2011,Robbery,Robbery,0,DAMAN AND DIU
347,2011,Arson,Arson,0,DAMAN AND DIU
348,2011,Hurt,Hurt,0,DAMAN AND DIU
349,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,DAMAN AND DIU
350,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,0,DAMAN AND DIU
351,2011,Other Crimes Against STs,Other Crimes Against STs,0,DAMAN AND DIU
352,2011,Total,Total,0,DAMAN AND DIU
353,2011,Murder,Murder,0,Nct Of Delhi
354,2011,Rape,Rape,0,Nct Of Delhi
355,2011,Kidnapping Abduction,Kidnapping Abduction,0,Nct Of Delhi
356,2011,Dacoity,Dacoity,0,Nct Of Delhi
357,2011,Robbery,Robbery,0,Nct Of Delhi
358,2011,Arson,Arson,0,Nct Of Delhi
359,2011,Hurt,Hurt,0,Nct Of Delhi
360,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Nct Of Delhi
361,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,0,Nct Of Delhi
362,2011,Other Crimes Against STs,Other Crimes Against STs,0,Nct Of Delhi
363,2011,Total,Total,0,Nct Of Delhi
364,2011,Murder,Murder,0,LAKSHADWEEP
365,2011,Rape,Rape,0,LAKSHADWEEP
366,2011,Kidnapping Abduction,Kidnapping Abduction,0,LAKSHADWEEP
367,2011,Dacoity,Dacoity,0,LAKSHADWEEP
368,2011,Robbery,Robbery,0,LAKSHADWEEP
369,2011,Arson,Arson,0,LAKSHADWEEP
370,2011,Hurt,Hurt,0,LAKSHADWEEP
371,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,LAKSHADWEEP
372,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,0,LAKSHADWEEP
373,2011,Other Crimes Against STs,Other Crimes Against STs,0,LAKSHADWEEP
374,2011,Total,Total,0,LAKSHADWEEP
375,2011,Murder,Murder,0,Pondicherry
376,2011,Rape,Rape,0,Pondicherry
377,2011,Kidnapping Abduction,Kidnapping Abduction,0,Pondicherry
378,2011,Dacoity,Dacoity,0,Pondicherry
379,2011,Robbery,Robbery,0,Pondicherry
380,2011,Arson,Arson,0,Pondicherry
381,2011,Hurt,Hurt,0,Pondicherry
382,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Pondicherry
383,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,0,Pondicherry
384,2011,Other Crimes Against STs,Other Crimes Against STs,0,Pondicherry
385,2011,Total,Total,0,Pondicherry
